flow_id,alpha_k*pi/4,alpha_prime_k*pi/4,r,bprime,b,count,prob
1,"(1, -3)","(-3, -3)","(1, 0)","(0, 0)","(1, 0)",96,0.0048
1,"(1, -3)","(-3, -3)","(1, 0)","(0, 1)","(1, 1)",634,0.0317
1,"(1, -3)","(-3, -3)","(1, 0)","(1, 0)","(0, 0)",625,0.03125
1,"(1, -3)","(-3, -3)","(1, 0)","(1, 1)","(0, 1)",3556,0.1778
1,"(1, -3)","(-3, 1)","(1, 1)","(0, 0)","(1, 1)",659,0.03295
1,"(1, -3)","(-3, 1)","(1, 1)","(0, 1)","(1, 0)",110,0.0055
1,"(1, -3)","(-3, 1)","(1, 1)","(1, 0)","(0, 1)",3679,0.18395
1,"(1, -3)","(-3, 1)","(1, 1)","(1, 1)","(0, 0)",637,0.03185
1,"(1, -3)","(1, -3)","(0, 0)","(0, 0)","(0, 0)",621,0.03105
1,"(1, -3)","(1, -3)","(0, 0)","(0, 1)","(0, 1)",3624,0.1812
1,"(1, -3)","(1, -3)","(0, 0)","(1, 0)","(1, 0)",93,0.00465
1,"(1, -3)","(1, -3)","(0, 0)","(1, 1)","(1, 1)",658,0.0329
1,"(1, -3)","(1, 1)","(0, 1)","(0, 0)","(0, 1)",3626,0.1813
1,"(1, -3)","(1, 1)","(0, 1)","(0, 1)","(0, 0)",644,0.0322
1,"(1, -3)","(1, 1)","(0, 1)","(1, 0)","(1, 1)",647,0.03235
1,"(1, -3)","(1, 1)","(0, 1)","(1, 1)","(1, 0)",91,0.00455
1,"(1, -1)","(-3, -1)","(1, 0)","(0, 0)","(1, 0)",589,0.02945
1,"(1, -1)","(-3, -1)","(1, 0)","(0, 1)","(1, 1)",113,0.00565
1,"(1, -1)","(-3, -1)","(1, 0)","(1, 0)","(0, 0)",3624,0.1812
1,"(1, -1)","(-3, -1)","(1, 0)","(1, 1)","(0, 1)",636,0.0318
1,"(1, -1)","(-3, 3)","(1, 1)","(0, 0)","(1, 1)",104,0.0052
1,"(1, -1)","(-3, 3)","(1, 1)","(0, 1)","(1, 0)",588,0.0294
1,"(1, -1)","(-3, 3)","(1, 1)","(1, 0)","(0, 1)",626,0.0313
1,"(1, -1)","(-3, 3)","(1, 1)","(1, 1)","(0, 0)",3729,0.18645
1,"(1, -1)","(1, -1)","(0, 0)","(0, 0)","(0, 0)",3672,0.1836
1,"(1, -1)","(1, -1)","(0, 0)","(0, 1)","(0, 1)",612,0.0306
1,"(1, -1)","(1, -1)","(0, 0)","(1, 0)","(1, 0)",621,0.03105
1,"(1, -1)","(1, -1)","(0, 0)","(1, 1)","(1, 1)",110,0.0055
1,"(1, -1)","(1, 3)","(0, 1)","(0, 0)","(0, 1)",651,0.03255
1,"(1, -1)","(1, 3)","(0, 1)","(0, 1)","(0, 0)",3611,0.18055
1,"(1, -1)","(1, 3)","(0, 1)","(1, 0)","(1, 1)",106,0.0053
1,"(1, -1)","(1, 3)","(0, 1)","(1, 1)","(1, 0)",608,0.0304
1,"(1, 1)","(-3, -3)","(1, 1)","(0, 0)","(1, 1)",98,0.0049
1,"(1, 1)","(-3, -3)","(1, 1)","(0, 1)","(1, 0)",619,0.03095
1,"(1, 1)","(-3, -3)","(1, 1)","(1, 0)","(0, 1)",624,0.0312
